date,vendor_id,city,market,product_category,day_of_week,month,month_num,is_weekend,is_holiday,rain_season,is_big_market_day,is_payday_period,n_transactions,avg_transaction_value_xaf,daily_revenue_xaf
2025-10-22,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,0,4,2640.0,10560.0
2025-10-23,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,0,8,1703.0,13628.0
2025-10-24,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,October,10,0,0,1,0,0,7,2404.0,16830.0
2025-10-25,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,October,10,1,0,1,0,0,8,2503.0,20023.0
2025-10-26,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,October,10,1,0,1,0,0,12,1503.0,18032.0
2025-10-27,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,October,10,0,0,1,0,0,3,2978.0,8934.0
2025-10-28,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,October,10,0,0,1,0,0,7,1816.0,12713.0
2025-10-29,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,October,10,0,0,1,0,1,16,984.0,15741.0
2025-10-30,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,October,10,0,0,1,0,1,12,1609.0,19303.0
2025-10-31,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,October,10,0,0,1,0,1,11,1595.0,17542.0
2025-11-01,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,November,11,1,0,0,1,0,10,2034.0,20344.0
2025-11-02,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,8,1765.0,14122.0
2025-11-03,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,5,3473.0,17365.0
2025-11-04,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,4,3404.0,13618.0
2025-11-05,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,8,1432.0,11460.0
2025-11-06,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,5,2673.0,13363.0
2025-11-07,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,9,1577.0,14194.0
2025-11-08,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,0,10,1737.0,17373.0
2025-11-09,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,7,2220.0,15538.0
2025-11-10,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,10,1684.0,16840.0
2025-11-11,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,5,1672.0,8359.0
2025-11-12,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,7,1582.0,11075.0
2025-11-13,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,6,1909.0,11453.0
2025-11-14,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,11,1607.0,17681.0
2025-11-15,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,November,11,1,0,0,1,0,9,2093.0,18838.0
2025-11-16,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,6,2358.0,14148.0
2025-11-17,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,9,1748.0,15731.0
2025-11-18,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,7,1370.0,9592.0
2025-11-19,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,12,1523.0,18279.0
2025-11-20,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,4,2512.0,10049.0
2025-11-21,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,November,11,0,0,0,0,0,9,2253.0,20280.0
2025-11-22,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,0,13,1651.0,21462.0
2025-11-23,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,0,7,1863.0,13043.0
2025-11-24,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,November,11,0,0,0,0,0,3,2129.0,6388.0
2025-11-25,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,November,11,0,0,0,0,0,3,3833.0,11500.0
2025-11-26,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,November,11,0,0,0,0,0,6,2789.0,16737.0
2025-11-27,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,November,11,0,0,0,0,0,7,1743.0,12204.0
2025-11-28,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,November,11,0,0,0,0,1,10,2407.0,24066.0
2025-11-29,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,November,11,1,0,0,0,1,15,1873.0,28093.0
2025-11-30,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,November,11,1,0,0,0,1,9,1650.0,14853.0
2025-12-01,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,5,2373.0,11866.0
2025-12-02,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,6,2031.0,12187.0
2025-12-03,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,8,1592.0,12733.0
2025-12-04,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,7,2511.0,17574.0
2025-12-05,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,9,2634.0,23702.0
2025-12-06,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,December,12,1,0,0,1,0,13,1750.0,22751.0
2025-12-07,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,7,2316.0,16211.0
2025-12-08,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,5,2205.0,11027.0
2025-12-09,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,7,1546.0,10824.0
2025-12-10,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,6,2217.0,13304.0
2025-12-11,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,9,1726.0,15531.0
2025-12-12,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,11,1699.0,18689.0
2025-12-13,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,December,12,1,0,0,0,0,8,2133.0,17068.0
2025-12-14,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,11,1603.0,17630.0
2025-12-15,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,6,1901.0,11405.0
2025-12-16,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,7,2164.0,15147.0
2025-12-17,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,7,1967.0,13767.0
2025-12-18,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,December,12,0,0,0,0,0,9,1411.0,12702.0
2025-12-19,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,12,1561.0,18731.0
2025-12-20,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,December,12,1,0,0,1,0,16,1848.0,29574.0
2025-12-21,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,9,1936.0,17424.0
2025-12-22,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,December,12,0,0,0,0,0,6,2023.0,12136.0
2025-12-23,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,0,7,1750.0,12247.0
2025-12-24,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,0,10,1077.0,10767.0
2025-12-25,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,December,12,0,1,0,0,0,5,2755.0,13777.0
2025-12-26,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,December,12,0,0,0,0,0,12,1657.0,19887.0
2025-12-27,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,December,12,1,0,0,0,0,13,1705.0,22170.0
2025-12-28,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,December,12,1,0,0,0,0,6,2563.0,15377.0
2025-12-29,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,December,12,0,0,0,0,1,6,2224.0,13346.0
2025-12-30,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,December,12,0,0,0,0,1,8,2062.0,16496.0
2025-12-31,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,December,12,0,0,0,0,1,6,2061.0,12366.0
2026-01-01,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,January,1,0,1,0,0,0,8,2223.0,17786.0
2026-01-02,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,8,1740.0,13924.0
2026-01-03,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,January,1,1,0,0,1,0,12,2036.0,24435.0
2026-01-04,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,8,1770.0,14158.0
2026-01-05,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,3,2940.0,8821.0
2026-01-06,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,5,2115.0,10575.0
2026-01-07,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,10,1319.0,13194.0
2026-01-08,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,8,1927.0,15415.0
2026-01-09,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,6,2682.0,16090.0
2026-01-10,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,0,10,1975.0,19748.0
2026-01-11,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,7,2333.0,16333.0
2026-01-12,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,10,1257.0,12570.0
2026-01-13,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,7,1686.0,11802.0
2026-01-14,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,7,2018.0,14126.0
2026-01-15,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,7,1965.0,13753.0
2026-01-16,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,7,2347.0,16431.0
2026-01-17,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,January,1,1,0,0,1,0,14,1677.0,23484.0
2026-01-18,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,13,1539.0,20011.0
2026-01-19,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,7,2410.0,16868.0
2026-01-20,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,8,1760.0,14082.0
2026-01-21,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,8,2313.0,18503.0
2026-01-22,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,0,5,2271.0,11356.0
2026-01-23,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,January,1,0,0,0,0,0,5,2203.0,11016.0
2026-01-24,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,0,9,1920.0,17284.0
2026-01-25,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,January,1,1,0,0,0,0,12,1366.0,16389.0
2026-01-26,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,January,1,0,0,0,0,0,6,2264.0,13584.0
2026-01-27,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,January,1,0,0,0,0,0,6,1706.0,10238.0
2026-01-28,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,January,1,0,0,0,0,0,9,1093.0,9837.0
2026-01-29,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,January,1,0,0,0,0,1,9,2087.0,18784.0
2026-01-30,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,January,1,0,0,0,0,1,10,1364.0,13640.0
2026-01-31,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,January,1,1,0,0,0,1,14,1594.0,22321.0
2026-02-01,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,5,2313.0,11566.0
2026-02-02,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,6,1910.0,11459.0
2026-02-03,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,7,1586.0,11099.0
2026-02-04,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,5,2059.0,10294.0
2026-02-05,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,8,1687.0,13499.0
2026-02-06,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,7,2622.0,18351.0
2026-02-07,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,February,2,1,0,0,1,0,12,1478.0,17739.0
2026-02-08,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,7,2337.0,16361.0
2026-02-09,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,8,1892.0,15135.0
2026-02-10,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,8,1860.0,14881.0
2026-02-11,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,February,2,0,1,0,0,0,16,1412.0,22598.0
2026-02-12,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,8,1579.0,12631.0
2026-02-13,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,12,1511.0,18134.0
2026-02-14,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,February,2,1,0,0,0,0,10,1666.0,16655.0
2026-02-15,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,6,3108.0,18645.0
2026-02-16,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,3,3084.0,9252.0
2026-02-17,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,7,1638.0,11466.0
2026-02-18,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,9,1817.0,16350.0
2026-02-19,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,0,7,2530.0,17709.0
2026-02-20,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,February,2,0,0,0,0,0,6,1980.0,11882.0
2026-02-21,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,February,2,1,0,0,1,0,13,1927.0,25054.0
2026-02-22,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,February,2,1,0,0,0,0,5,2124.0,10622.0
2026-02-23,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,February,2,0,0,0,0,0,6,1509.0,9052.0
2026-02-24,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,February,2,0,0,0,0,0,5,2571.0,12856.0
2026-02-25,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,February,2,0,0,0,0,0,4,2843.0,11373.0
2026-02-26,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,February,2,0,0,0,0,1,10,1502.0,15020.0
2026-02-27,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,February,2,0,0,0,0,1,9,1728.0,15548.0
2026-02-28,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,February,2,1,0,0,0,1,9,2301.0,20712.0
2026-03-01,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,March,3,1,0,0,0,0,6,2520.0,15117.0
2026-03-02,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,3,3454.0,10362.0
2026-03-03,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,9,1905.0,17141.0
2026-03-04,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,6,1833.0,10999.0
2026-03-05,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,6,2158.0,12945.0
2026-03-06,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,11,1639.0,18032.0
2026-03-07,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,March,3,1,0,0,1,0,10,2125.0,21251.0
2026-03-08,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,March,3,1,1,0,0,0,5,3667.0,18333.0
2026-03-09,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,7,1245.0,8715.0
2026-03-10,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,8,2023.0,16183.0
2026-03-11,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,8,1730.0,13840.0
2026-03-12,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,15,1533.0,22992.0
2026-03-13,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,6,2630.0,15777.0
2026-03-14,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,March,3,1,0,0,0,0,8,1855.0,14839.0
2026-03-15,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,March,3,1,0,0,0,0,4,3362.0,13450.0
2026-03-16,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,3,3397.0,10190.0
2026-03-17,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,10,1631.0,16306.0
2026-03-18,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,9,1384.0,12458.0
2026-03-19,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,5,2679.0,13395.0
2026-03-20,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,12,1770.0,21237.0
2026-03-21,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,March,3,1,0,0,1,0,10,1940.0,19399.0
2026-03-22,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,March,3,1,0,0,0,0,4,3291.0,13164.0
2026-03-23,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,March,3,0,0,0,0,0,11,1230.0,13525.0
2026-03-24,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,0,6,1559.0,9357.0
2026-03-25,V001,Buea,Sandpit Market,Fresh Vegetables,Wednesday,March,3,0,0,0,0,0,5,2219.0,11097.0
2026-03-26,V001,Buea,Sandpit Market,Fresh Vegetables,Thursday,March,3,0,0,0,0,0,4,2968.0,11873.0
2026-03-27,V001,Buea,Sandpit Market,Fresh Vegetables,Friday,March,3,0,0,0,0,0,7,2327.0,16287.0
2026-03-28,V001,Buea,Sandpit Market,Fresh Vegetables,Saturday,March,3,1,0,0,0,0,11,1891.0,20803.0
2026-03-29,V001,Buea,Sandpit Market,Fresh Vegetables,Sunday,March,3,1,0,0,0,1,7,2425.0,16977.0
2026-03-30,V001,Buea,Sandpit Market,Fresh Vegetables,Monday,March,3,0,0,0,0,1,8,1483.0,11867.0
2026-03-31,V001,Buea,Sandpit Market,Fresh Vegetables,Tuesday,March,3,0,0,0,0,1,6,2524.0,15147.0
2025-09-01,V002,Buea,Mile 17 Motor Park Market,Fruits (Mango/Avocado/Pineapple),Monday,September,9,0,0,1,0,0,14,1472.0,20610.0
2025-09-02,V002,Buea,Mile 17 Motor Park Market,Fruits (Mango/Avocado/Pineapple),Tuesday,September,9,0,0,1,0,0,7,1674.0,11715.0
2025-09-03,V002,Buea,Mile 17 Motor Park Market,Fruits (Mango/Avocado/Pineapple),Wednesday,September,9,0,0,1,0,0,3,4796.0,14389.0
2025-09-04,V002,Buea,Mile 17 Motor Park Market,Fruits (Mango/Avocado/Pineapple),Thursday,September,9,0,0,1,0,0,6,2530.0,15180.0
2025-09-05,V002,Buea,Mile 17 Motor Park Market,Fruits (Mango/Avocado/Pineapple),Friday,September,9,0,0,1,0,0,8,1803.0,14424.0
